|Qasm file|Method|Date|Opt level|Platform|Seed|Circuit depth|Gate count
0|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|100|10|17
1|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|101|11|21
2|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|2|13|19
3|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|203|8|14
4|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|4|8|21
5|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|5|8|13
6|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|6|14|22
7|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|7|9|17
8|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|8|12|18
9|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|109|10|17
10|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|110|12|20
11|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|11|11|19
12|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|12|13|22
13|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|13|10|19
14|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|114|11|21
15|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|215|14|21
16|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|16|6|9
17|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|117|12|16
18|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|18|13|21
19|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|19|11|21
20|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|20|8|13
21|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|121|10|19
22|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|22|10|18
23|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|123|11|15
24|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|24|10|18
25|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|25|11|17
26|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|26|14|22
27|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|27|13|23
28|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|28|9|14
29|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|29|13|19
30|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|30|7|13
31|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|31|13|20
32|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|32|8|14
33|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|33|9|21
34|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|34|9|19
35|ex1_226.qasm|Qiskit 0.21.2 compilation|2022-08-23|3|rigetti_16q_aspen|35|10|14
