|Qasm file|Method|Date|Opt level|Platform|Seed|Circuit depth|Gate count
0|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|0|10|17
1|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|101|14|22
2|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|2|10|17
3|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|103|8|13
4|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|104|10|14
5|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|5|13|23
6|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|6|13|23
7|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|7|8|14
8|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|8|12|18
9|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|9|13|21
10|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|10|8|13
11|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|11|10|14
12|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|112|15|26
13|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|113|10|17
14|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|14|16|22
15|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|15|13|20
16|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|16|14|22
17|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|17|12|21
18|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|18|9|13
19|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|19|10|17
20|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|20|15|21
21|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|21|12|18
22|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|22|10|17
23|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|23|13|21
24|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|24|8|13
25|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|25|9|14
26|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|126|13|21
27|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|27|12|19
28|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|ibm_rochester|28|10|17
