name,method,qiskit_version,date,platform,sample_size,seed,optimization_level,metric_name,metric_value
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,0,3,circuit depth,10
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,0,3,gate count,17
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,101,3,circuit depth,14
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,101,3,gate count,22
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,2,3,circuit depth,10
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,2,3,gate count,17
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,103,3,circuit depth,8
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,103,3,gate count,13
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,104,3,circuit depth,10
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,104,3,gate count,14
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,5,3,circuit depth,13
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,5,3,gate count,23
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,6,3,circuit depth,13
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,6,3,gate count,23
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,7,3,circuit depth,8
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,7,3,gate count,14
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,8,3,circuit depth,12
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,8,3,gate count,18
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,9,3,circuit depth,13
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,9,3,gate count,21
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,10,3,circuit depth,8
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,10,3,gate count,13
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,11,3,circuit depth,10
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,11,3,gate count,14
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,112,3,circuit depth,15
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,112,3,gate count,26
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,113,3,circuit depth,10
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,113,3,gate count,17
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,14,3,circuit depth,16
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,14,3,gate count,22
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,15,3,circuit depth,13
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,15,3,gate count,20
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,16,3,circuit depth,14
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,16,3,gate count,22
ex1_226.qasm circuit benchmark,qiskit compilation,0.22.4,2023-01-17,ibm_rochester,100,17,3,circuit depth,12
