name,method_name,qiskit_version,release_date,sample_size,platform_name,metric_name,metric_value,seed
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,0
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,0
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,1
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,1
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,2
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,2
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,8,3
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,3
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,4
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,4
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,5
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,5
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,6
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,6
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,7
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,20,7
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,8
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,13,8
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,9
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,9
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,10
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,10
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,11
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,11
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,12
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,13,12
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,13
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,13
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,14
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,14
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,12,15
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,22,15
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,16
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,16
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,17
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,17
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,12,18
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,20,18
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,19
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,19
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,20
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,18,20
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,8,21
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,21
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,22
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,22
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,23
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,23
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,24
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,18,24
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,25
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,25
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,26
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,26
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,27
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,27
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,28
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,19,28
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,29
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,19,29
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,30
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,30
